token,sentence,index,lemma,pos,sentiment,start,paragraph,docPosition,sentPosition,IOB,isPunc,followsPunc,precedesPunc
prospers,1,26,prosper,VBZ,Neutral,275,0,Introduction,Middle,O,False,False,True
.,1,27,.,.,,284,0,Introduction,Last,O,True,False,False
However,2,1,however,RB,Negative,285,0,Introduction,First,O,False,True,True
",",2,2,",",",",,293,0,Introduction,Middle,O,True,False,False
when,2,3,when,WRB,Neutral,294,0,Introduction,Middle,O,False,True,False
we,2,4,we,PRP,Neutral,299,0,Introduction,Middle,O,False,False,False
discuss,2,5,discuss,VBP,Neutral,302,0,Introduction,Middle,O,False,False,False
the,2,6,the,DT,Neutral,310,0,Introduction,Middle,O,False,False,False
issue,2,7,issue,NN,Neutral,314,0,Introduction,Middle,O,False,False,False
of,2,8,of,IN,Neutral,320,0,Introduction,Middle,O,False,False,False
competition,2,9,competition,NN,Neutral,323,0,Introduction,Middle,O,False,False,False
or,2,10,or,CC,Neutral,335,0,Introduction,Middle,O,False,False,False
cooperation,2,11,cooperation,NN,Neutral,338,0,Introduction,Middle,O,False,False,True
",",2,12,",",",",,350,0,Introduction,Middle,O,True,False,False
what,2,13,what,WP,Neutral,351,0,Introduction,Middle,O,False,True,False
we,2,14,we,PRP,Neutral,356,0,Introduction,Middle,O,False,False,False
are,2,15,be,VBP,Neutral,359,0,Introduction,Middle,O,False,False,False
concerned,2,16,concerned,JJ,Neutral,363,0,Introduction,Middle,O,False,False,False
about,2,17,about,IN,Neutral,373,0,Introduction,Middle,O,False,False,False
is,2,18,be,VBZ,Neutral,379,0,Introduction,Middle,O,False,False,False
not,2,19,not,RB,Negative,382,0,Introduction,Middle,O,False,False,False
the,2,20,the,DT,Neutral,386,0,Introduction,Middle,O,False,False,False
whole,2,21,whole,JJ,Neutral,390,0,Introduction,Middle,O,False,False,False
society,2,22,society,NN,Neutral,396,0,Introduction,Middle,O,False,False,True
",",2,23,",",",",,404,0,Introduction,Middle,O,True,False,False
but,2,24,but,CC,Neutral,405,0,Introduction,Middle,O,False,True,False
the,2,25,the,DT,Neutral,409,0,Introduction,Middle,O,False,False,False
development,2,26,development,NN,Neutral,413,0,Introduction,Middle,O,False,False,False
of,2,27,of,IN,Neutral,425,0,Introduction,Middle,O,False,False,False
an,2,28,a,DT,Neutral,428,0,Introduction,Middle,O,False,False,False
individual,2,29,individual,NN,Neutral,431,0,Introduction,Middle,O,False,False,False
's,2,30,'s,POS,,442,0,Introduction,Middle,O,False,False,False
whole,2,31,whole,JJ,Neutral,445,0,Introduction,Middle,O,False,False,False
life,2,32,life,NN,Positive,451,0,Introduction,Middle,O,False,False,True
.,2,33,.,.,,456,0,Introduction,Last,O,True,False,False
From,3,1,from,IN,Negative,456,0,Introduction,First,O,False,True,False
this,3,2,this,DT,Neutral,461,0,Introduction,Middle,O,False,False,False
point,3,3,point,NN,Neutral,466,0,Introduction,Middle,O,False,False,False
of,3,4,of,IN,Neutral,472,0,Introduction,Middle,O,False,False,False
view,3,5,view,NN,Neutral,475,0,Introduction,Middle,O,False,False,True
",",3,6,",",",",,480,0,Introduction,Middle,O,True,False,False
I,3,7,I,PRP,Neutral,481,0,Introduction,Middle,O,False,True,False
firmly,3,8,firmly,RB,Positive,483,0,Introduction,Middle,O,False,False,False
believe,3,9,believe,VBP,Neutral,490,0,Introduction,Middle,O,False,False,False
that,3,10,that,IN,Neutral,498,0,Introduction,Middle,O,False,False,False
we,3,11,we,PRP,Neutral,503,0,Introduction,Middle,Arg-B,False,False,False
should,3,12,should,MD,Neutral,506,0,Introduction,Middle,Arg-I,False,False,False
attach,3,13,attach,VB,Neutral,513,0,Introduction,Middle,Arg-I,False,False,False
more,3,14,more,JJR,Neutral,520,0,Introduction,Middle,Arg-I,False,False,False
importance,3,15,importance,NN,Neutral,525,0,Introduction,Middle,Arg-I,False,False,False
to,3,16,to,IN,Neutral,536,0,Introduction,Middle,Arg-I,False,False,False
cooperation,3,17,cooperation,NN,Neutral,539,0,Introduction,Middle,Arg-I,False,False,False
during,3,18,during,IN,Neutral,551,0,Introduction,Middle,Arg-I,False,False,False
primary,3,19,primary,JJ,Neutral,558,0,Introduction,Middle,Arg-I,False,False,False
education,3,20,education,NN,Neutral,566,0,Introduction,Middle,Arg-I,False,False,True
.,3,21,.,.,,576,0,Introduction,Last,O,True,False,False
First,4,1,first,RB,Positive,577,1,Body,First,O,False,True,False
of,4,2,of,IN,Neutral,583,1,Body,Middle,O,False,False,False
all,4,3,all,DT,Neutral,586,1,Body,Middle,O,False,False,True
",",4,4,",",",",,590,1,Body,Middle,O,True,False,False
through,4,5,through,IN,Neutral,591,1,Body,Middle,Arg-B,False,True,False
cooperation,4,6,cooperation,NN,Neutral,599,1,Body,Middle,Arg-I,False,False,True
",",4,7,",",",",,611,1,Body,Middle,Arg-I,True,False,False
children,4,8,child,NNS,Positive,612,1,Body,Middle,Arg-I,False,True,False
can,4,9,can,MD,Neutral,621,1,Body,Middle,Arg-I,False,False,False
learn,4,10,learn,VB,Neutral,625,1,Body,Middle,Arg-I,False,False,False
about,4,11,about,IN,Neutral,631,1,Body,Middle,Arg-I,False,False,False
interpersonal,4,12,interpersonal,JJ,Neutral,637,1,Body,Middle,Arg-I,False,False,False
skills,4,13,skill,NNS,Neutral,651,1,Body,Middle,Arg-I,False,False,False
which,4,14,which,WDT,Neutral,658,1,Body,Middle,Arg-I,False,False,False
are,4,15,be,VBP,Neutral,664,1,Body,Middle,Arg-I,False,False,False
significant,4,16,significant,JJ,Neutral,668,1,Body,Middle,Arg-I,False,False,False
in,4,17,in,IN,Neutral,680,1,Body,Middle,Arg-I,False,False,False
the,4,18,the,DT,Neutral,683,1,Body,Middle,Arg-I,False,False,False
future,4,19,future,JJ,Neutral,687,1,Body,Middle,Arg-I,False,False,False
life,4,20,life,NN,Positive,694,1,Body,Middle,Arg-I,False,False,False
of,4,21,of,IN,Neutral,699,1,Body,Middle,Arg-I,False,False,False
all,4,22,all,DT,Neutral,702,1,Body,Middle,Arg-I,False,False,False
students,4,23,student,NNS,Neutral,706,1,Body,Middle,Arg-I,False,False,True
.,4,24,.,.,,715,1,Body,Last,O,True,False,False
What,5,1,what,WP,Neutral,716,1,Body,First,Arg-B,False,True,False
we,5,2,we,PRP,Neutral,721,1,Body,Middle,Arg-I,False,False,False
acquired,5,3,acquire,VBD,Neutral,724,1,Body,Middle,Arg-I,False,False,False
from,5,4,from,IN,Neutral,733,1,Body,Middle,Arg-I,False,False,False
team,5,5,team,NN,Positive,738,1,Body,Middle,Arg-I,False,False,False
work,5,6,work,NN,Neutral,743,1,Body,Middle,Arg-I,False,False,False
is,5,7,be,VBZ,Neutral,748,1,Body,Middle,Arg-I,False,False,False
not,5,8,not,RB,Negative,751,1,Body,Middle,Arg-I,False,False,False
only,5,9,only,RB,Neutral,755,1,Body,Middle,Arg-I,False,False,False
how,5,10,how,WRB,Neutral,760,1,Body,Middle,Arg-I,False,False,False
to,5,11,to,TO,Neutral,764,1,Body,Middle,Arg-I,False,False,False
achieve,5,12,achieve,VB,Positive,767,1,Body,Middle,Arg-I,False,False,False
the,5,13,the,DT,Neutral,775,1,Body,Middle,Arg-I,False,False,False
same,5,14,same,JJ,Neutral,779,1,Body,Middle,Arg-I,False,False,False
goal,5,15,goal,NN,Positive,784,1,Body,Middle,Arg-I,False,False,False
with,5,16,with,IN,Neutral,789,1,Body,Middle,Arg-I,False,False,False
others,5,17,other,NNS,Neutral,794,1,Body,Middle,Arg-I,False,False,False
but,5,18,but,CC,Neutral,801,1,Body,Middle,Arg-I,False,False,False
more,5,19,more,RBR,Neutral,805,1,Body,Middle,Arg-I,False,False,False
importantly,5,20,importantly,RB,Neutral,810,1,Body,Middle,Arg-I,False,False,True
",",5,21,",",",",,822,1,Body,Middle,Arg-I,True,False,False
how,5,22,how,WRB,Neutral,823,1,Body,Middle,Arg-I,False,True,False
to,5,23,to,TO,Neutral,827,1,Body,Middle,Arg-I,False,False,False
get,5,24,get,VB,Neutral,830,1,Body,Middle,Arg-I,False,False,False
along,5,25,along,RP,Neutral,834,1,Body,Middle,Arg-I,False,False,False
with,5,26,with,IN,Neutral,840,1,Body,Middle,Arg-I,False,False,False
others,5,27,other,NNS,Neutral,845,1,Body,Middle,Arg-I,False,False,True
.,5,28,.,.,,852,1,Body,Last,O,True,False,False
During,6,1,during,IN,Neutral,853,1,Body,First,Arg-B,False,True,False
the,6,2,the,DT,Neutral,860,1,Body,Middle,Arg-I,False,False,False
process,6,3,process,NN,Neutral,864,1,Body,Middle,Arg-I,False,False,False
of,6,4,of,IN,Neutral,872,1,Body,Middle,Arg-I,False,False,False
cooperation,6,5,cooperation,NN,Neutral,875,1,Body,Middle,Arg-I,False,False,True
",",6,6,",",",",,887,1,Body,Middle,Arg-I,True,False,False
children,6,7,child,NNS,Positive,888,1,Body,Middle,Arg-I,False,True,False
can,6,8,can,MD,Neutral,897,1,Body,Middle,Arg-I,False,False,False
learn,6,9,learn,VB,Neutral,901,1,Body,Middle,Arg-I,False,False,False
about,6,10,about,IN,Neutral,907,1,Body,Middle,Arg-I,False,False,False
how,6,11,how,WRB,Neutral,913,1,Body,Middle,Arg-I,False,False,False
to,6,12,to,TO,Neutral,917,1,Body,Middle,Arg-I,False,False,False
listen,6,13,listen,VB,Neutral,920,1,Body,Middle,Arg-I,False,False,False
to,6,14,to,IN,Neutral,927,1,Body,Middle,Arg-I,False,False,False
opinions,6,15,opinion,NNS,Neutral,930,1,Body,Middle,Arg-I,False,False,False
of,6,16,of,IN,Neutral,939,1,Body,Middle,Arg-I,False,False,False
others,6,17,other,NNS,Neutral,942,1,Body,Middle,Arg-I,False,False,True
",",6,18,",",",",,949,1,Body,Middle,Arg-I,True,False,False
how,6,19,how,WRB,Neutral,950,1,Body,Middle,Arg-I,False,True,False
to,6,20,to,TO,Neutral,954,1,Body,Middle,Arg-I,False,False,False
communicate,6,21,communicate,VB,Neutral,957,1,Body,Middle,Arg-I,False,False,False
with,6,22,with,IN,Neutral,969,1,Body,Middle,Arg-I,False,False,False
others,6,23,other,NNS,Neutral,974,1,Body,Middle,Arg-I,False,False,True
",",6,24,",",",",,981,1,Body,Middle,Arg-I,True,False,False
how,6,25,how,WRB,Neutral,982,1,Body,Middle,Arg-I,False,True,False
to,6,26,to,TO,Neutral,986,1,Body,Middle,Arg-I,False,False,False
think,6,27,think,VB,Neutral,989,1,Body,Middle,Arg-I,False,False,False
comprehensively,6,28,comprehensively,RB,Neutral,995,1,Body,Middle,Arg-I,False,False,True
",",6,29,",",",",,1011,1,Body,Middle,Arg-I,True,False,False
and,6,30,and,CC,Neutral,1012,1,Body,Middle,Arg-I,False,True,False
even,6,31,even,RB,Neutral,1016,1,Body,Middle,Arg-I,False,False,False
how,6,32,how,WRB,Neutral,1021,1,Body,Middle,Arg-I,False,False,False
to,6,33,to,TO,Neutral,1025,1,Body,Middle,Arg-I,False,False,False
compromise,6,34,compromise,VB,Neutral,1028,1,Body,Middle,Arg-I,False,False,False
with,6,35,with,IN,Neutral,1039,1,Body,Middle,Arg-I,False,False,False
other,6,36,other,JJ,Neutral,1044,1,Body,Middle,Arg-I,False,False,False
team,6,37,team,NN,Positive,1050,1,Body,Middle,Arg-I,False,False,False
members,6,38,member,NNS,Neutral,1055,1,Body,Middle,Arg-I,False,False,False
when,6,39,when,WRB,Neutral,1063,1,Body,Middle,Arg-I,False,False,False
conflicts,6,40,conflict,NNS,Negative,1068,1,Body,Middle,Arg-I,False,False,False
occurred,6,41,occur,VBD,Neutral,1078,1,Body,Middle,Arg-I,False,False,True
.,6,42,.,.,,1087,1,Body,Last,O,True,False,False
All,7,1,all,DT,Neutral,1088,1,Body,First,Arg-B,False,True,False
of,7,2,of,IN,Neutral,1092,1,Body,Middle,Arg-I,False,False,False
these,7,3,these,DT,Neutral,1095,1,Body,Middle,Arg-I,False,False,False
skills,7,4,skill,NNS,Neutral,1101,1,Body,Middle,Arg-I,False,False,False
help,7,5,help,VBP,Neutral,1108,1,Body,Middle,Arg-I,False,False,False
them,7,6,they,PRP,Neutral,1113,1,Body,Middle,Arg-I,False,False,False
to,7,7,to,TO,Neutral,1118,1,Body,Middle,Arg-I,False,False,False
get,7,8,get,VB,Neutral,1121,1,Body,Middle,Arg-I,False,False,False
on,7,9,on,RP,Neutral,1125,1,Body,Middle,Arg-I,False,False,False
well,7,10,well,RB,Positive,1128,1,Body,Middle,Arg-I,False,False,False
with,7,11,with,IN,Neutral,1133,1,Body,Middle,Arg-I,False,False,False
other,7,12,other,JJ,Neutral,1138,1,Body,Middle,Arg-I,False,False,False
people,7,13,people,NNS,Neutral,1144,1,Body,Middle,Arg-I,False,False,False
and,7,14,and,CC,Neutral,1151,1,Body,Middle,Arg-I,False,False,False
will,7,15,will,MD,Neutral,1155,1,Body,Middle,Arg-I,False,False,False
benefit,7,16,benefit,VB,Positive,1160,1,Body,Middle,Arg-I,False,False,False
them,7,17,they,PRP,Neutral,1168,1,Body,Middle,Arg-I,False,False,False
for,7,18,for,IN,Neutral,1173,1,Body,Middle,Arg-I,False,False,False
the,7,19,the,DT,Neutral,1177,1,Body,Middle,Arg-I,False,False,False
whole,7,20,whole,JJ,Neutral,1181,1,Body,Middle,Arg-I,False,False,False
life,7,21,life,NN,Positive,1187,1,Body,Middle,Arg-I,False,False,True
.,7,22,.,.,,1192,1,Body,Last,O,True,False,False
On,8,1,on,IN,Neutral,1193,2,Body,First,O,False,True,False
the,8,2,the,DT,Neutral,1196,2,Body,Middle,O,False,False,False
other,8,3,other,JJ,Neutral,1200,2,Body,Middle,O,False,False,False
hand,8,4,hand,NN,Neutral,1206,2,Body,Middle,O,False,False,True
",",8,5,",",",",,1211,2,Body,Middle,O,True,False,False
the,8,6,the,DT,Neutral,1212,2,Body,Middle,Arg-B,False,True,False
significance,8,7,significance,NN,Neutral,1216,2,Body,Middle,Arg-I,False,False,False
of,8,8,of,IN,Neutral,1229,2,Body,Middle,Arg-I,False,False,False
competition,8,9,competition,NN,Neutral,1232,2,Body,Middle,Arg-I,False,False,False
is,8,10,be,VBZ,Neutral,1244,2,Body,Middle,Arg-I,False,False,False
that,8,11,that,IN,Neutral,1247,2,Body,Middle,Arg-I,False,False,False
how,8,12,how,WRB,Neutral,1252,2,Body,Middle,Arg-I,False,False,False
to,8,13,to,TO,Neutral,1256,2,Body,Middle,Arg-I,False,False,False
become,8,14,become,VB,Neutral,1259,2,Body,Middle,Arg-I,False,False,False
more,8,15,more,RBR,Neutral,1266,2,Body,Middle,Arg-I,False,False,False
excellence,8,16,excellence,NN,Positive,1271,2,Body,Middle,Arg-I,False,False,False
to,8,17,to,TO,Neutral,1282,2,Body,Middle,Arg-I,False,False,False
gain,8,18,gain,VB,Neutral,1285,2,Body,Middle,Arg-I,False,False,False
the,8,19,the,DT,Neutral,1290,2,Body,Middle,Arg-I,False,False,False
victory,8,20,victory,NN,Neutral,1294,2,Body,Middle,Arg-I,False,False,True
.,8,21,.,.,,1302,2,Body,Last,O,True,False,False
Hence,9,1,hence,RB,Neutral,1303,2,Body,First,O,False,True,False
it,9,2,it,PRP,Neutral,1309,2,Body,Middle,O,False,False,False
is,9,3,be,VBZ,Neutral,1312,2,Body,Middle,O,False,False,False
always,9,4,always,RB,Neutral,1315,2,Body,Middle,O,False,False,False
said,9,5,say,VBN,Neutral,1322,2,Body,Middle,O,False,False,False
that,9,6,that,IN,Neutral,1327,2,Body,Middle,O,False,False,False
competition,9,7,competition,NN,Neutral,1332,2,Body,Middle,Arg-B,False,False,False
makes,9,8,make,VBZ,Neutral,1344,2,Body,Middle,Arg-I,False,False,False
the,9,9,the,DT,Neutral,1350,2,Body,Middle,Arg-I,False,False,False
society,9,10,society,NN,Neutral,1354,2,Body,Middle,Arg-I,False,False,False
more,9,11,more,RBR,Neutral,1362,2,Body,Middle,Arg-I,False,False,False
effective,9,12,effective,JJ,Positive,1367,2,Body,Middle,Arg-I,False,False,True
.,9,13,.,.,,1377,2,Body,Last,O,True,False,False
However,10,1,however,RB,Negative,1378,2,Body,First,O,False,True,True
",",10,2,",",",",,1386,2,Body,Middle,O,True,False,False
when,10,3,when,WRB,Neutral,1387,2,Body,Middle,Arg-B,False,True,False
we,10,4,we,PRP,Neutral,1392,2,Body,Middle,Arg-I,False,False,False
consider,10,5,consider,VBP,Neutral,1395,2,Body,Middle,Arg-I,False,False,False
about,10,6,about,IN,Neutral,1404,2,Body,Middle,Arg-I,False,False,False
the,10,7,the,DT,Neutral,1410,2,Body,Middle,Arg-I,False,False,False
question,10,8,question,NN,Neutral,1414,2,Body,Middle,Arg-I,False,False,False
that,10,9,that,IN,Neutral,1423,2,Body,Middle,Arg-I,False,False,False
how,10,10,how,WRB,Neutral,1428,2,Body,Middle,Arg-I,False,False,False
to,10,11,to,TO,Neutral,1432,2,Body,Middle,Arg-I,False,False,False
win,10,12,win,VB,Positive,1435,2,Body,Middle,Arg-I,False,False,False
the,10,13,the,DT,Neutral,1439,2,Body,Middle,Arg-I,False,False,False
game,10,14,game,NN,Neutral,1443,2,Body,Middle,Arg-I,False,False,True
",",10,15,",",",",,1448,2,Body,Middle,Arg-I,True,False,False
we,10,16,we,PRP,Neutral,1449,2,Body,Middle,Arg-I,False,True,False
always,10,17,always,RB,Neutral,1452,2,Body,Middle,Arg-I,False,False,False
find,10,18,find,VBP,Neutral,1459,2,Body,Middle,Arg-I,False,False,False
that,10,19,that,IN,Neutral,1464,2,Body,Middle,Arg-I,False,False,False
we,10,20,we,PRP,Neutral,1469,2,Body,Middle,Arg-I,False,False,False
need,10,21,need,VBP,Neutral,1472,2,Body,Middle,Arg-I,False,False,False
the,10,22,the,DT,Neutral,1477,2,Body,Middle,Arg-I,False,False,False
cooperation,10,23,cooperation,NN,Neutral,1481,2,Body,Middle,Arg-I,False,False,True
.,10,24,.,.,,1493,2,Body,Last,O,True,False,False
The,11,1,the,DT,Neutral,1494,2,Body,First,O,False,True,False
greater,11,2,greater,JJR,Positive,1498,2,Body,Middle,O,False,False,False
our,11,3,we,PRP$,Neutral,1506,2,Body,Middle,O,False,False,False
goal,11,4,goal,NN,Positive,1510,2,Body,Middle,O,False,False,False
is,11,5,be,VBZ,Neutral,1515,2,Body,Middle,O,False,False,True
",",11,6,",",",",,1518,2,Body,Middle,O,True,False,False
the,11,7,the,DT,Neutral,1519,2,Body,Middle,O,False,True,False
more,11,8,more,JJR,Neutral,1523,2,Body,Middle,O,False,False,False
competition,11,9,competition,NN,Neutral,1528,2,Body,Middle,O,False,False,False
we,11,10,we,PRP,Neutral,1540,2,Body,Middle,O,False,False,False
need,11,11,need,VBP,Neutral,1543,2,Body,Middle,O,False,False,True
.,11,12,.,.,,1548,2,Body,Last,O,True,False,False
Take,12,1,take,VB,Neutral,1549,2,Body,First,Arg-B,False,True,False
Olympic,12,2,olympic,JJ,Neutral,1554,2,Body,Middle,Arg-I,False,False,False
games,12,3,game,NNS,Neutral,1562,2,Body,Middle,Arg-I,False,False,False
which,12,4,which,WDT,Neutral,1568,2,Body,Middle,Arg-I,False,False,False
is,12,5,be,VBZ,Neutral,1574,2,Body,Middle,Arg-I,False,False,False
a,12,6,a,DT,Neutral,1577,2,Body,Middle,Arg-I,False,False,False
form,12,7,form,NN,Neutral,1579,2,Body,Middle,Arg-I,False,False,False
of,12,8,of,IN,Neutral,1584,2,Body,Middle,Arg-I,False,False,False
competition,12,9,competition,NN,Neutral,1587,2,Body,Middle,Arg-I,False,False,False
for,12,10,for,IN,Neutral,1599,2,Body,Middle,Arg-I,False,False,False
instance,12,11,instance,NN,Neutral,1603,2,Body,Middle,Arg-I,False,False,True
",",12,12,",",",",,1612,2,Body,Middle,Arg-I,True,False,False
it,12,13,it,PRP,Neutral,1613,2,Body,Middle,Arg-I,False,True,False
is,12,14,be,VBZ,Neutral,1616,2,Body,Middle,Arg-I,False,False,False
hard,12,15,hard,JJ,Neutral,1619,2,Body,Middle,Arg-I,False,False,False
to,12,16,to,TO,Neutral,1624,2,Body,Middle,Arg-I,False,False,False
imagine,12,17,imagine,VB,Neutral,1627,2,Body,Middle,Arg-I,False,False,False
how,12,18,how,WRB,Neutral,1635,2,Body,Middle,Arg-I,False,False,False
an,12,19,a,DT,Neutral,1639,2,Body,Middle,Arg-I,False,False,False
athlete,12,20,athlete,NN,Neutral,1642,2,Body,Middle,Arg-I,False,False,False
could,12,21,could,MD,Neutral,1650,2,Body,Middle,Arg-I,False,False,False
win,12,22,win,VB,Positive,1656,2,Body,Middle,Arg-I,False,False,False
the,12,23,the,DT,Neutral,1660,2,Body,Middle,Arg-I,False,False,False
game,12,24,game,NN,Neutral,1664,2,Body,Middle,Arg-I,False,False,False
without,12,25,without,IN,Neutral,1669,2,Body,Middle,Arg-I,False,False,False
the,12,26,the,DT,Neutral,1677,2,Body,Middle,Arg-I,False,False,False
training,12,27,training,NN,Positive,1681,2,Body,Middle,Arg-I,False,False,False
of,12,28,of,IN,Neutral,1690,2,Body,Middle,Arg-I,False,False,False
his,12,29,he,PRP$,Neutral,1693,2,Body,Middle,Arg-I,False,False,False
or,12,30,or,CC,Neutral,1697,2,Body,Middle,Arg-I,False,False,False
her,12,31,she,PRP$,Neutral,1700,2,Body,Middle,Arg-I,False,False,False
coach,12,32,coach,NN,Neutral,1704,2,Body,Middle,Arg-I,False,False,True
",",12,33,",",",",,1710,2,Body,Middle,Arg-I,True,False,False
and,12,34,and,CC,Neutral,1711,2,Body,Middle,Arg-I,False,True,False
the,12,35,the,DT,Neutral,1715,2,Body,Middle,Arg-I,False,False,False
help,12,36,help,NN,Neutral,1719,2,Body,Middle,Arg-I,False,False,False
of,12,37,of,IN,Neutral,1724,2,Body,Middle,Arg-I,False,False,False
other,12,38,other,JJ,Neutral,1727,2,Body,Middle,Arg-I,False,False,False
professional,12,39,professional,JJ,Positive,1733,2,Body,Middle,Arg-I,False,False,False
staffs,12,40,staff,NNS,Neutral,1746,2,Body,Middle,Arg-I,False,False,False
such,12,41,such,JJ,Neutral,1753,2,Body,Middle,Arg-I,False,False,False
as,12,42,as,IN,Neutral,1758,2,Body,Middle,Arg-I,False,False,False
the,12,43,the,DT,Neutral,1761,2,Body,Middle,Arg-I,False,False,False
people,12,44,people,NNS,Neutral,1765,2,Body,Middle,Arg-I,False,False,False
who,12,45,who,WP,Neutral,1772,2,Body,Middle,Arg-I,False,False,False
take,12,46,take,VBP,Neutral,1776,2,Body,Middle,Arg-I,False,False,False
care,12,47,care,NN,Positive,1781,2,Body,Middle,Arg-I,False,False,False
of,12,48,of,IN,Neutral,1786,2,Body,Middle,Arg-I,False,False,False
his,12,49,he,PRP$,Neutral,1789,2,Body,Middle,Arg-I,False,False,False
diet,12,50,diet,NN,Neutral,1793,2,Body,Middle,Arg-I,False,False,True
",",12,51,",",",",,1798,2,Body,Middle,Arg-I,True,False,False
and,12,52,and,CC,Neutral,1799,2,Body,Middle,Arg-I,False,True,False
those,12,53,those,DT,Neutral,1803,2,Body,Middle,Arg-I,False,False,False
who,12,54,who,WP,Neutral,1809,2,Body,Middle,Arg-I,False,False,False
are,12,55,be,VBP,Neutral,1813,2,Body,Middle,Arg-I,False,False,False
in,12,56,in,IN,Neutral,1817,2,Body,Middle,Arg-I,False,False,False
charge,12,57,charge,NN,Neutral,1820,2,Body,Middle,Arg-I,False,False,False
of,12,58,of,IN,Neutral,1827,2,Body,Middle,Arg-I,False,False,False
the,12,59,the,DT,Neutral,1830,2,Body,Middle,Arg-I,False,False,False
medical,12,60,medical,JJ,Neutral,1834,2,Body,Middle,Arg-I,False,False,False
care,12,61,care,NN,Positive,1842,2,Body,Middle,Arg-I,False,False,True
.,12,62,.,.,,1847,2,Body,Last,O,True,False,False
The,13,1,the,DT,Neutral,1848,2,Body,First,O,False,True,False
winner,13,2,winner,NN,Very positive,1852,2,Body,Middle,O,False,False,False
is,13,3,be,VBZ,Neutral,1859,2,Body,Middle,O,False,False,False
the,13,4,the,DT,Neutral,1862,2,Body,Middle,O,False,False,False
athlete,13,5,athlete,NN,Neutral,1866,2,Body,Middle,O,False,False,False
but,13,6,but,CC,Neutral,1874,2,Body,Middle,O,False,False,False
the,13,7,the,DT,Neutral,1878,2,Body,Middle,O,False,False,False
success,13,8,success,NN,Positive,1882,2,Body,Middle,O,False,False,False
belongs,13,9,belong,VBZ,Neutral,1890,2,Body,Middle,O,False,False,False
to,13,10,to,IN,Neutral,1898,2,Body,Middle,O,False,False,False
the,13,11,the,DT,Neutral,1901,2,Body,Middle,O,False,False,False
whole,13,12,whole,JJ,Neutral,1905,2,Body,Middle,O,False,False,False
team,13,13,team,NN,Positive,1911,2,Body,Middle,O,False,False,True
.,13,14,.,.,,1916,2,Body,Last,O,True,False,False
