,essay,token,lemma,sentence,index,start,pos,sentence_sentiment,token_sentiment,paragraph,docPosition,sentPosition,isPunc,followsPunc,precedesPunc,followsLCA,precedesLCA,followsLCAPath,precedesLCAPath,head,uppermost,uppermost_child,right_sibling,right_sibling_head,probability,head_lemma,IOB
48,3478.txt,out,out,2,14,211,RP,Neutral,Negative,0,Introduction,Middle,False,False,False,VP,VP,0.7692307692307693,0.7692307692307693,hang-13,PRT,,,,0.0,hang,O
49,3478.txt,with,with,2,15,215,IN,Neutral,Neutral,0,Introduction,Middle,False,False,False,PP,VP,0.8461538461538461,0.7692307692307693,friends-16,IN,,,,0.0002082032063293,friend,O
50,3478.txt,friends,friend,2,16,220,NNS,Neutral,Positive,0,Introduction,Middle,False,False,True,S,PP,0.1538461538461538,0.8461538461538461,hang-13,PP,,,,0.0,hang,O
51,3478.txt,.,.,2,17,227,.,Neutral,Neutral,0,Introduction,Last,True,False,False,,S,-1.0,0.1538461538461538,love-2,.,.,.,love,0.0,love,O
52,3478.txt,Strict,strict,3,1,229,JJ,Negative,Neutral,0,Introduction,First,False,True,False,NP,,0.3076923076923077,-1.0,parents-2,JJ,Strict,Strict,parents,0.3485321673953779,parent,O
53,3478.txt,parents,parent,3,2,236,NNS,Negative,Neutral,0,Introduction,Middle,False,False,False,S,NP,0.2307692307692307,0.3076923076923077,believe-4,NP,JJ,NNS,books,0.0,believe,O
54,3478.txt,might,might,3,3,244,MD,Negative,Neutral,0,Introduction,Middle,False,False,False,VP,S,0.3076923076923077,0.2307692307692307,believe-4,MD,might,might,believe,0.0,believe,O
55,3478.txt,believe,believe,3,4,250,VB,Negative,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.3846153846153846,0.3076923076923077,believe-4,ROOT,S,S,believe,0.0,believe,O
56,3478.txt,that,that,3,5,258,IN,Negative,Neutral,0,Introduction,Middle,False,False,False,SBAR,VP,0.4615384615384615,0.3846153846153846,offensive-13,IN,that,that,is,0.0043722673329169,offensive,O
57,3478.txt,books,book,3,6,263,NNS,Negative,Neutral,0,Introduction,Middle,False,False,True,NP,SBAR,0.6153846153846154,0.4615384615384615,offensive-13,NP,NP,NP,everyone,0.0997293358317718,offensive,O
58,3478.txt,",",",",3,7,268,",",Negative,Neutral,0,Introduction,Middle,True,False,False,NP,NP,0.6153846153846154,0.6153846153846154,books-6,",",",",",",believe,0.0,book,O
59,3478.txt,magazines,magazine,3,8,270,NNS,Negative,Neutral,0,Introduction,Middle,False,True,True,NP,NP,0.6153846153846154,0.6153846153846154,books-6,magazines,,,,0.4112013325005205,book,O
60,3478.txt,",",",",3,9,279,",",Negative,Neutral,0,Introduction,Middle,True,False,False,NP,NP,0.6153846153846154,0.6153846153846154,books-6,",",",",",",believe,0.0,book,O
61,3478.txt,and,and,3,10,281,CC,Negative,Neutral,0,Introduction,Middle,False,True,False,NP,NP,0.6153846153846154,0.6153846153846154,music-11,CC,and,and,library,0.4112013325005205,music,O
62,3478.txt,music,music,3,11,285,NN,Negative,Neutral,0,Introduction,Middle,False,False,False,S,NP,0.5384615384615384,0.6153846153846154,books-6,NN,,,,0.0029148448886112,book,O
63,3478.txt,are,be,3,12,291,VBP,Negative,Neutral,0,Introduction,Middle,False,False,False,VP,S,0.6923076923076923,0.5384615384615384,offensive-13,VBP,are,are,offensive,0.0,offensive,O
64,3478.txt,offensive,offensive,3,13,295,JJ,Negative,Negative,0,Introduction,Middle,False,False,False,S,VP,0.5384615384615384,0.6923076923076923,believe-4,SBAR,IN,S,believe,0.001665625650635,believe,O
65,3478.txt,and,and,3,14,305,CC,Negative,Neutral,0,Introduction,Middle,False,False,False,S,S,0.5384615384615384,0.5384615384615384,library-20,NP,NP,NP,everyone,0.0,library,O
66,3478.txt,should,should,3,15,309,MD,Negative,Neutral,0,Introduction,Middle,False,False,False,VP,S,0.6923076923076923,0.5384615384615384,library-20,MD,,,,0.0029148448886112,library,O
67,3478.txt,not,not,3,16,316,RB,Negative,Negative,0,Introduction,Middle,False,False,False,VP,VP,0.6923076923076923,0.6923076923076923,library-20,RB,,,,0.0,library,O
68,3478.txt,be,be,3,17,320,VB,Negative,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.7692307692307693,0.6923076923076923,library-20,VB,,,,0.0,library,O
69,3478.txt,at,at,3,18,323,IN,Negative,Neutral,0,Introduction,Middle,False,False,False,PP,VP,0.8461538461538461,0.7692307692307693,library-20,IN,,,,0.001665625650635,library,O
70,3478.txt,the,the,3,19,326,DT,Negative,Neutral,0,Introduction,Middle,False,False,False,NP,PP,0.9230769230769232,0.8461538461538461,library-20,DT,,,,0.0,library,O
71,3478.txt,library,library,3,20,330,NN,Negative,Neutral,0,Introduction,Middle,False,False,True,S,NP,0.5384615384615384,0.9230769230769232,offensive-13,VP,,,,0.0012492192379762,offensive,O
72,3478.txt,",",",",3,21,337,",",Negative,Neutral,0,Introduction,Middle,True,False,False,S,S,0.1538461538461538,0.5384615384615384,believe-4,SBAR,IN,S,believe,0.0,believe,O
73,3478.txt,But,but,3,22,339,CC,Negative,Neutral,0,Introduction,Middle,False,True,False,S,S,0.1538461538461538,0.1538461538461538,is-24,CC,But,But,is,0.4112013325005205,be,O
74,3478.txt,that,that,3,23,343,DT,Negative,Neutral,0,Introduction,Middle,False,False,False,VP,S,0.3076923076923077,0.1538461538461538,is-24,VP,VB,SBAR,is,0.0106183635227982,be,O
75,3478.txt,is,be,3,24,348,VBZ,Negative,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.3076923076923077,0.3076923076923077,believe-4,VBZ,,,,0.0997293358317718,believe,O
76,3478.txt,n't,not,3,25,350,RB,Negative,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.3076923076923077,0.3076923076923077,is-24,RB,,,,0.001665625650635,be,O
77,3478.txt,what,what,3,26,354,WP,Negative,Neutral,0,Introduction,Middle,False,False,False,SBAR,VP,0.3846153846153846,0.3076923076923077,thinks-29,WHNP,,,,0.0,think,O
78,3478.txt,everyone,everyone,3,27,359,NN,Negative,Neutral,0,Introduction,Middle,False,False,False,NP,SBAR,0.5384615384615384,0.3846153846153846,thinks-29,NP,,,,0.0,think,O
79,3478.txt,else,else,3,28,368,JJ,Negative,Neutral,0,Introduction,Middle,False,False,False,S,NP,0.4615384615384615,0.5384615384615384,everyone-27,JJ,,,,0.0,everyone,O
80,3478.txt,thinks,think,3,29,373,VBZ,Negative,Neutral,0,Introduction,Middle,False,False,True,S,S,0.1538461538461538,0.4615384615384615,is-24,SBAR,,,,0.0,be,O
81,3478.txt,.,.,3,30,379,.,Negative,Neutral,0,Introduction,Last,True,False,False,,S,-1.0,0.1538461538461538,believe-4,.,.,.,believe,0.0085363314595044,believe,O
82,3478.txt,I,I,0,1,381,PRP,Neutral,Neutral,1,Body,First,False,True,False,S,,0.2,-1.0,believe-2,NP,PRP,PRP,believe,0.3485321673953779,believe,O
83,3478.txt,believe,believe,0,2,383,VBP,Neutral,Neutral,1,Body,Middle,False,False,False,VP,S,0.3,0.2,believe-2,ROOT,S,S,believe,0.0004164064126587,believe,O
84,3478.txt,people,person,0,3,391,NNS,Neutral,Neutral,1,Body,Middle,False,False,False,S,VP,0.5,0.3,have-4,NP,NNS,NNS,views,0.0043722673329169,have,O
85,3478.txt,have,have,0,4,398,VBP,Neutral,Neutral,1,Body,Middle,False,False,False,VP,S,0.6,0.5,believe-2,SBAR,S,S,believe,0.0,believe,O
86,3478.txt,different,different,0,5,403,JJ,Neutral,Neutral,1,Body,Middle,False,False,False,NP,VP,0.8,0.6,views-6,JJ,different,different,views,0.0,view,O
87,3478.txt,views,view,0,6,413,NNS,Neutral,Neutral,1,Body,Middle,False,False,False,NP,NP,0.7,0.8,have-4,NP,NP,PP,views,0.0,have,O
88,3478.txt,about,about,0,7,419,IN,Neutral,Neutral,1,Body,Middle,False,False,False,PP,NP,0.8,0.7,things-8,IN,about,about,things,0.0008328128253175,thing,O
89,3478.txt,things,thing,0,8,425,NNS,Neutral,Neutral,1,Body,Middle,False,False,True,S,PP,0.2,0.8,views-6,PP,IN,NP,views,0.0,view,O
90,3478.txt,.,.,0,9,431,.,Neutral,Neutral,1,Body,Last,True,False,False,,S,-1.0,0.2,believe-2,.,.,.,believe,0.0,believe,O
91,3478.txt,There,there,1,1,433,EX,Negative,Neutral,1,Body,First,False,True,False,S,,0.1111111111111111,-1.0,are-2,NP,EX,EX,are,0.3485321673953779,be,O
92,3478.txt,are,be,1,2,439,VBP,Negative,Neutral,1,Body,Middle,False,False,False,VP,S,0.1666666666666666,0.1111111111111111,are-2,ROOT,S,S,are,0.0002082032063293,be,O
93,3478.txt,people,person,1,3,443,NNS,Negative,Neutral,1,Body,Middle,False,False,False,NP,VP,0.2222222222222222,0.1666666666666666,are-2,NP,NP,SBAR,do,0.001665625650635,be,O
94,3478.txt,that,that,1,4,450,WDT,Negative,Neutral,1,Body,Middle,False,False,False,SBAR,NP,0.2777777777777778,0.2222222222222222,think-5,WHNP,WDT,WDT,think,0.0,think,O
95,3478.txt,think,think,1,5,455,VBP,Negative,Neutral,1,Body,Middle,False,False,False,VP,SBAR,0.3888888888888889,0.2777777777777778,people-3,SBAR,WHNP,S,are,0.0997293358317718,person,O
96,3478.txt,there,there,1,6,461,RB,Negative,Neutral,1,Body,Middle,False,False,False,S,VP,0.5,0.3888888888888889,make-12,ADVP,RB,RB,make,0.0085363314595044,make,O
97,3478.txt,kids,kid,1,7,467,NNS,Negative,Neutral,1,Body,Middle,False,False,False,NP,S,0.5555555555555556,0.5,make-12,NP,NP,VP,do,0.0002082032063293,make,Arg-B
98,3478.txt,seeing,see,1,8,472,VBG,Negative,Neutral,1,Body,Middle,False,False,False,VP,NP,0.6111111111111112,0.5555555555555556,kids-7,VP,VBG,NP,do,0.0,kid,Arg-I
99,3478.txt,bad,bad,1,9,479,JJ,Negative,Very negative,1,Body,Middle,False,False,False,NP,VP,0.6666666666666666,0.6111111111111112,things-10,JJ,bad,bad,things,0.0,thing,Arg-I
100,3478.txt,things,thing,1,10,483,NNS,Negative,Neutral,1,Body,Middle,False,False,False,S,NP,0.5,0.6666666666666666,seeing-8,NP,JJ,NNS,seeing,0.0,see,Arg-I
101,3478.txt,will,will,1,11,490,MD,Negative,Neutral,1,Body,Middle,False,False,False,VP,S,0.5555555555555556,0.5,make-12,MD,will,will,make,0.0,make,Arg-I
102,3478.txt,make,make,1,12,495,VB,Negative,Neutral,1,Body,Middle,False,False,False,VP,VP,0.6111111111111112,0.5555555555555556,think-5,SBAR,S,S,are,0.0,think,Arg-I
103,3478.txt,them,they,1,13,500,PRP,Negative,Neutral,1,Body,Middle,False,False,False,S,VP,0.6666666666666666,0.6111111111111112,want-14,NP,PRP,PRP,do,0.0002082032063293,want,Arg-I
104,3478.txt,want,want,1,14,505,VB,Negative,Neutral,1,Body,Middle,False,False,False,VP,S,0.7222222222222222,0.6666666666666666,make-12,S,NP,VP,do,0.0002082032063293,make,Arg-I
105,3478.txt,to,to,1,15,510,TO,Negative,Neutral,1,Body,Middle,False,False,False,VP,VP,0.8333333333333334,0.7222222222222222,do-16,TO,to,to,do,0.0,do,Arg-I
106,3478.txt,do,do,1,16,513,VB,Negative,Neutral,1,Body,Middle,False,False,False,VP,VP,0.8888888888888888,0.8333333333333334,want-14,S,VP,VP,do,0.0004164064126587,want,Arg-I
107,3478.txt,it,it,1,17,516,PRP,Negative,Neutral,1,Body,Middle,False,False,True,S,VP,0.1111111111111111,0.8888888888888888,do-16,NP,PRP,PRP,do,0.0002082032063293,do,Arg-I
108,3478.txt,.,.,1,18,518,.,Negative,Neutral,1,Body,Last,True,False,False,,S,-1.0,0.1111111111111111,are-2,.,.,.,are,0.0,be,O
109,3478.txt,Others,other,2,1,520,NNS,Negative,Neutral,1,Body,First,False,True,False,S,,0.1666666666666666,-1.0,think-2,NP,NNS,NNS,seeing,0.3485321673953779,think,Arg-B
110,3478.txt,think,think,2,2,527,VBP,Negative,Neutral,1,Body,Middle,False,False,False,VP,S,0.25,0.1666666666666666,think-2,ROOT,S,S,think,0.0,think,Arg-I
111,3478.txt,there,there,2,3,533,RB,Negative,Neutral,1,Body,Middle,False,False,False,S,VP,0.4166666666666667,0.25,make-10,ADVP,RB,RB,make,0.0085363314595044,make,Arg-I
112,3478.txt,kids,kid,2,4,539,NNS,Negative,Neutral,1,Body,Middle,False,False,False,NP,S,0.5,0.4166666666666667,make-10,NP,NP,VP,learn,0.0002082032063293,make,Arg-I
113,3478.txt,seeing,see,2,5,544,VBG,Negative,Neutral,1,Body,Middle,False,False,False,VP,NP,0.5833333333333334,0.5,kids-4,VP,VBG,NP,learn,0.0,kid,Arg-I
114,3478.txt,those,that,2,6,551,DT,Negative,Neutral,1,Body,Middle,False,False,False,NP,VP,0.6666666666666666,0.5833333333333334,things-8,DT,those,those,things,0.0,thing,Arg-I
115,3478.txt,offensive,offensive,2,7,557,JJ,Negative,Negative,1,Body,Middle,False,False,False,NP,NP,0.6666666666666666,0.6666666666666666,things-8,JJ,offensive,offensive,things,0.0997293358317718,thing,Arg-I
116,3478.txt,things,thing,2,8,567,NNS,Negative,Neutral,1,Body,Middle,False,False,False,S,NP,0.4166666666666667,0.6666666666666666,seeing-5,NP,DT,NNS,seeing,0.0,see,Arg-I
117,3478.txt,will,will,2,9,574,MD,Negative,Neutral,1,Body,Middle,False,False,False,VP,S,0.5,0.4166666666666667,make-10,MD,will,will,make,0.0,make,Arg-I
118,3478.txt,make,make,2,10,579,VB,Negative,Neutral,1,Body,Middle,False,False,False,VP,VP,0.5833333333333334,0.5,think-2,SBAR,S,S,think,0.0,think,Arg-I
119,3478.txt,them,they,2,11,584,PRP,Negative,Neutral,1,Body,Middle,False,False,False,S,VP,0.6666666666666666,0.5833333333333334,learn-12,NP,PRP,PRP,learn,0.0002082032063293,learn,Arg-I
120,3478.txt,learn,learn,2,12,589,VB,Negative,Neutral,1,Body,Middle,False,False,False,VP,S,0.75,0.6666666666666666,make-10,S,NP,VP,learn,0.0002082032063293,make,Arg-I
121,3478.txt,from,from,2,13,595,IN,Negative,Neutral,1,Body,Middle,False,False,False,PP,VP,0.8333333333333334,0.75,it-14,IN,from,from,it,0.0,it,Arg-I
122,3478.txt,it,it,2,14,600,PRP,Negative,Neutral,1,Body,Middle,False,False,True,S,PP,0.1666666666666666,0.8333333333333334,learn-12,PP,IN,NP,learn,0.0,learn,Arg-I
123,3478.txt,.,.,2,15,602,.,Negative,Neutral,1,Body,Last,True,False,False,,S,-1.0,0.1666666666666666,think-2,.,.,.,think,0.0,think,O
124,3478.txt,Another,another,3,1,604,DT,Negative,Neutral,1,Body,First,False,True,False,NP,,0.3076923076923077,-1.0,thing-2,DT,Another,Another,thing,0.3485321673953779,thing,Arg-B
125,3478.txt,thing,thing,3,2,612,NN,Negative,Neutral,1,Body,Middle,False,False,False,NP,NP,0.2307692307692307,0.3076923076923077,talking-12,NP,NP,SBAR,bad,0.0,talking,Arg-I
126,3478.txt,that,that,3,3,618,WDT,Negative,Neutral,1,Body,Middle,False,False,False,WHNP,NP,0.3846153846153846,0.2307692307692307,people-4,WDT,that,that,people,0.0,person,Arg-I
127,3478.txt,people,person,3,4,623,NNS,Negative,Neutral,1,Body,Middle,False,False,False,SBAR,WHNP,0.3076923076923077,0.3846153846153846,believe-5,WHNP,WDT,NNS,bad,0.0997293358317718,believe,Arg-I
128,3478.txt,believe,believe,3,5,630,VBP,Negative,Neutral,1,Body,Middle,False,False,False,VP,SBAR,0.4615384615384615,0.3076923076923077,thing-2,SBAR,WHNP,S,talking,0.0,thing,Arg-I
129,3478.txt,is,be,3,6,638,VBZ,Negative,Neutral,1,Body,Middle,False,False,False,VP,VP,0.6923076923076923,0.4615384615384615,bad-7,VBZ,is,is,talking,0.0043722673329169,bad,Arg-I
130,3478.txt,bad,bad,3,7,641,JJ,Negative,Very negative,1,Body,Middle,False,False,False,ADJP,VP,0.7692307692307693,0.6923076923076923,believe-5,SBAR,S,S,talking,0.001665625650635,believe,Arg-I
131,3478.txt,in,in,3,8,645,IN,Negative,Neutral,1,Body,Middle,False,False,False,PP,ADJP,0.8461538461538461,0.7692307692307693,libraries-9,IN,in,in,libraries,0.0,library,Arg-I
132,3478.txt,libraries,library,3,9,648,NNS,Negative,Neutral,1,Body,Middle,False,False,False,VP,PP,0.6923076923076923,0.8461538461538461,bad-7,PP,IN,NP,talking,0.0,bad,Arg-I
133,3478.txt,is,be,3,10,658,VBZ,Negative,Neutral,1,Body,Middle,False,False,False,S,VP,0.1538461538461538,0.6923076923076923,talking-12,NP,NP,SBAR,bad,0.0,talking,Arg-I
134,3478.txt,the,the,3,11,661,DT,Negative,Neutral,1,Body,Middle,False,False,False,NP,S,0.3076923076923077,0.1538461538461538,talking-12,DT,the,the,talking,0.001665625650635,talking,Arg-I
135,3478.txt,talking,talking,3,12,665,NN,Negative,Neutral,1,Body,Middle,False,False,True,S,NP,0.1538461538461538,0.3076923076923077,talking-12,ROOT,S,S,talking,0.0012492192379762,talking,Arg-I
136,3478.txt,.,.,3,13,672,.,Negative,Neutral,1,Body,Last,True,False,False,,S,-1.0,0.1538461538461538,talking-12,.,.,.,talking,0.0,talking,O
137,3478.txt,Not,not,4,1,674,RB,Negative,Neutral,1,Body,First,False,True,False,NP,,0.4,-1.0,everyone-2,RB,Not,Not,everyone,0.3485321673953779,everyone,Arg-B
138,3478.txt,everyone,everyone,4,2,678,NN,Negative,Neutral,1,Body,Middle,False,False,False,NP,NP,0.3,0.4,wants-8,NP,NP,SBAR,goes,0.0,want,Arg-I
139,3478.txt,that,that,4,3,687,WDT,Negative,Neutral,1,Body,Middle,False,False,False,SBAR,NP,0.4,0.3,goes-4,WHNP,WDT,WDT,goes,0.0,go,Arg-I
140,3478.txt,goes,go,4,4,692,VBZ,Negative,Neutral,1,Body,Middle,False,False,False,VP,SBAR,0.6,0.4,everyone-2,SBAR,WHNP,S,wants,0.0997293358317718,everyone,Arg-I
141,3478.txt,to,to,4,5,697,IN,Negative,Neutral,1,Body,Middle,False,False,False,PP,VP,0.7,0.6,library-7,IN,to,to,anyone,0.0,library,Arg-I
142,3478.txt,the,the,4,6,700,DT,Negative,Neutral,1,Body,Middle,False,False,False,NP,PP,0.8,0.7,library-7,DT,the,the,library,0.0004164064126587,library,Arg-I
